Name,Year,Rating,Date
Little Women,2019,5,2020-01-01
Uncut Gems,2019,4.5,2020-01-05
John Mulaney & The Sack Lunch Bunch,2019,4.5,2020-01-05
Seth Meyers: Lobby Baby,2019,,2020-01-06
John Mulaney & The Sack Lunch Bunch,2019,4.5,2020-01-09
Jenny Slate: Stage Fright,2019,,2020-01-09
Black Mirror: Bandersnatch,2018,3.5,2020-01-12
Go Figure,2005,,2020-01-15
Jojo Rabbit,2019,,2020-01-17
The Swap,2016,,2020-01-19
Mike Birbiglia: The New One,2019,4.5,2020-01-20
Michelle Wolf: Joke Show,2019,3.5,2020-01-20
Knives Out,2019,5,2020-01-24
Kim Possible: So the Drama,2005,,2020-01-25
How to Build a Better Boy,2014,,2020-01-25
Parasite,2019,5,2020-01-26
Paddington,2014,5,2020-02-01
Descendants 3,2019,,2020-02-02
Lady Bird,2017,5,2020-02-06
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,3,2020-02-07
Knives Out,2019,5,2020-02-07
Booksmart,2019,4.5,2020-02-10
Miss Americana,2020,2.5,2020-02-17
The Farewell,2019,4,2020-02-17
Horse Girl,2020,4,2020-02-18
Fortune Feimster: Sweet & Salty,2020,3.5,2020-02-18
Iliza Shlesinger: Unveiled,2019,,2020-02-19
Gabriel Fluffy Iglesias: One Show Fits All,2019,,2020-02-23
Portrait of a Lady on Fire,2019,5,2020-03-06
Parasite,2019,5,2020-03-07
Dolemite Is My Name,2019,3.5,2020-03-08
Pete Davidson: Alive from New York,2020,,2020-03-11
John Mulaney: Kid Gorgeous at Radio City,2018,,2020-03-11
Taylor Tomlinson: Quarter-Life Crisis,2020,,2020-03-12
Marc Maron: End Times Fun,2020,,2020-03-14
Tiffany Haddish: Black Mitzvah,2019,,2020-03-14
David A. Arnold: Fat Ballerina,2020,,2020-03-14
Toy Story 4,2019,4,2020-03-17
Horse Sense,1999,,2020-03-19
Nate Bargatze: The Tennessee Kid,2019,,2020-03-20
Hatching Pete,2009,,2020-03-21
Life Is Ruff,2005,,2020-03-22
Quints,2000,,2020-03-23
Austin Powers: International Man of Mystery,1997,4,2020-03-28
The Man Who Killed Don Quixote,2018,3.5,2020-03-29
Dave Chappelle: The Kennedy Center Mark Twain Prize,2020,,2020-04-05
Austin Powers: The Spy Who Shagged Me,1999,3.5,2020-04-06
Rosemary's Baby,1968,4.5,2020-04-06
Ingrid Goes West,2017,4.5,2020-04-06
Monty Python and the Holy Grail,1975,3.5,2020-04-07
Bathtubs Over Broadway,2018,4,2020-04-07
What We Do in the Shadows,2014,4,2020-04-08
The Death of Stalin,2017,2.5,2020-04-09
Frozen II,2019,,2020-04-09
Maria Bamford: The Special Special Special!,2012,,2020-04-10
Blazing Saddles,1974,4,2020-04-10
Scary Movie,2000,1.5,2020-04-11
Escape from New York,1981,4,2020-04-11
Fear and Desire,1952,3,2020-04-12
The Big Sick,2017,5,2020-04-12
The Evil Dead,1981,2.5,2020-04-13
Doctor Sleep,2019,4,2020-04-14
The Luck of the Irish,2001,,2020-04-15
